date time	sample name	count type	cell count	dilution factor	concentration	result type	result	mean diameter	assay type	cell type
11/07/2014 11:09:12	new sample	BR-FL	3	1.0	       2.74e+004	BR-FL/BR	  1.6%	 	Feeding Trial 1 SS_low conc	Algae RC

11/07/2014 11:11:15	new sample	BR	169	1.0	       1.89e+006	  	  	  6.8	Feeding Trial 1 SS_low conc	Algae RC
11/07/2014 11:11:15	new sample	FL	157	1.0	       1.76e+006	  	  	  7.2	Feeding Trial 1 SS_low conc	Algae RC
11/07/2014 11:11:15	new sample	BR-FL	12	1.0	       1.28e+005	BR-FL/BR	  6.8%	 	Feeding Trial 1 SS_low conc	Algae RC

11/07/2014 11:12:41	new sample	BR	170	1.0	       1.88e+006	  	  	  5.9	Feeding Trial 1 SS_low conc	Algae RC
11/07/2014 11:12:41	new sample	FL	145	1.0	       1.62e+006	  	  	  7.0	Feeding Trial 1 SS_low conc	Algae RC
11/07/2014 11:12:41	new sample	BR-FL	25	1.0	       2.64e+005	BR-FL/BR	 14.0%	 	Feeding Trial 1 SS_low conc	Algae RC

11/07/2014 11:14:10	new sample	BR	160	1.0	       1.78e+006	  	  	  6.6	Feeding Trial 1 SS_low conc	Algae RC
11/07/2014 11:14:10	new sample	FL	138	1.0	       1.54e+006	  	  	  6.9	Feeding Trial 1 SS_low conc	Algae RC
11/07/2014 11:14:10	new sample	BR-FL	22	1.0	       2.41e+005	BR-FL/BR	 13.5%	 	Feeding Trial 1 SS_low conc	Algae RC

11/07/2014 11:15:38	new sample	BR	106	1.0	       1.17e+006	  	  	  5.3	Feeding Trial 1 SS_low conc	Algae RC
11/07/2014 11:15:38	new sample	FL	126	1.0	       1.40e+006	  	  	  6.0	Feeding Trial 1 SS_low conc	Algae RC
11/07/2014 11:15:38	new sample	BR-FL	-20	1.0	      -2.29e+005	BR-FL/BR	-19.5%	 	Feeding Trial 1 SS_low conc	Algae RC

11/07/2014 11:17:10	new sample	BR	148	1.0	       1.64e+006	  	  	  6.1	Feeding Trial 1 SS_low conc	Algae RC
11/07/2014 11:17:10	new sample	FL	142	1.0	       1.58e+006	  	  	  6.2	Feeding Trial 1 SS_low conc	Algae RC
11/07/2014 11:17:10	new sample	BR-FL	6	1.0	       6.46e+004	BR-FL/BR	  3.9%	 	Feeding Trial 1 SS_low conc	Algae RC

11/07/2014 11:18:41	new sample	BR	75	1.0	       8.27e+005	  	  	  5.2	Feeding Trial 1 SS_low conc	Algae RC
11/07/2014 11:18:41	new sample	FL	130	1.0	       1.45e+006	  	  	  6.3	Feeding Trial 1 SS_low conc	Algae RC
11/07/2014 11:18:41	new sample	BR-FL	-55	1.0	      -6.19e+005	BR-FL/BR	-74.9%	 	Feeding Trial 1 SS_low conc	Algae RC

11/07/2014 11:20:18	new sample	BR	81	1.0	       9.00e+005	  	  	  6.2	Feeding Trial 1 SS_low conc	Algae RC
11/07/2014 11:20:18	new sample	FL	122	1.0	       1.36e+006	  	  	  6.3	Feeding Trial 1 SS_low conc	Algae RC
11/07/2014 11:20:18	new sample	BR-FL	-41	1.0	      -4.57e+005	BR-FL/BR	-50.8%	 	Feeding Trial 1 SS_low conc	Algae RC

11/07/2014 11:21:53	new sample	BR	151	1.0	       1.68e+006	  	  	  6.0	Feeding Trial 1 SS_low conc	Algae RC
11/07/2014 11:21:53	new sample	FL	129	1.0	       1.44e+006	  	  	  6.4	Feeding Trial 1 SS_low conc	Algae RC
11/07/2014 11:21:53	new sample	BR-FL	22	1.0	       2.40e+005	BR-FL/BR	 14.3%	 	Feeding Trial 1 SS_low conc	Algae RC

11/07/2014 11:23:26	new sample	BR	155	1.0	       1.73e+006	  	  	  6.6	Feeding Trial 1 SS_low conc	Algae RC
11/07/2014 11:23:26	new sample	FL	125	1.0	       1.40e+006	  	  	  6.9	Feeding Trial 1 SS_low conc	Algae RC
11/07/2014 11:23:26	new sample	BR-FL	30	1.0	       3.32e+005	BR-FL/BR	 19.2%	 	Feeding Trial 1 SS_low conc	Algae RC

11/07/2014 11:24:52	new sample	BR	151	1.0	       1.68e+006	  	  	  6.7	Feeding Trial 1 SS_low conc	Algae RC
11/07/2014 11:24:52	new sample	FL	133	1.0	       1.49e+006	  	  	  6.9	Feeding Trial 1 SS_low conc	Algae RC
11/07/2014 11:24:52	new sample	BR-FL	18	1.0	       1.98e+005	BR-FL/BR	 11.8%	 	Feeding Trial 1 SS_low conc	Algae RC

11/07/2014 11:26:38	new sample	BR	153	1.0	       1.71e+006	  	  	  6.8	Feeding Trial 1 SS_low conc	Algae RC
11/07/2014 11:26:38	new sample	FL	139	1.0	       1.55e+006	  	  	  7.0	Feeding Trial 1 SS_low conc	Algae RC
11/07/2014 11:26:38	new sample	BR-FL	14	1.0	       1.54e+005	BR-FL/BR	  9.0%	 	Feeding Trial 1 SS_low conc	Algae RC

11/07/2014 11:28:09	new sample	BR	143	1.0	       1.59e+006	  	  	  6.4	Feeding Trial 1 SS_low conc	Algae RC
11/07/2014 11:28:09	new sample	FL	125	1.0	       1.40e+006	  	  	  6.9	Feeding Trial 1 SS_low conc	Algae RC
11/07/2014 11:28:09	new sample	BR-FL	18	1.0	       1.95e+005	BR-FL/BR	 12.2%	 	Feeding Trial 1 SS_low conc	Algae RC

11/07/2014 11:38:29	new sample	BR	109	1.0	       1.22e+006	  	  	  7.0	Feeding Trial 1 SS_low conc	Algae RC
11/07/2014 11:38:29	new sample	FL	106	1.0	       1.19e+006	  	  	  7.9	Feeding Trial 1 SS_low conc	Algae RC
11/07/2014 11:38:29	new sample	BR-FL	3	1.0	       2.51e+004	BR-FL/BR	  2.1%	 	Feeding Trial 1 SS_low conc	Algae RC

11/07/2014 11:40:06	new sample	BR	158	1.0	       1.76e+006	  	  	  6.6	Feeding Trial 1 SS_low conc	Algae RC
11/07/2014 11:40:06	new sample	FL	147	1.0	       1.64e+006	  	  	  6.8	Feeding Trial 1 SS_low conc	Algae RC
11/07/2014 11:40:06	new sample	BR-FL	11	1.0	       1.20e+005	BR-FL/BR	  6.8%	 	Feeding Trial 1 SS_low conc	Algae RC

11/07/2014 11:42:01	new sample	BR	147	1.0	       1.64e+006	  	  	  6.4	Feeding Trial 1 SS_low conc	Algae RC
11/07/2014 11:42:01	new sample	FL	120	1.0	       1.34e+006	  	  	  6.8	Feeding Trial 1 SS_low conc	Algae RC
11/07/2014 11:42:01	new sample	BR-FL	27	1.0	       2.97e+005	BR-FL/BR	 18.1%	 	Feeding Trial 1 SS_low conc	Algae RC

11/07/2014 11:43:29	new sample	BR	143	1.0	       1.59e+006	  	  	  6.5	Feeding Trial 1 SS_low conc	Algae RC
11/07/2014 11:43:29	new sample	FL	131	1.0	       1.46e+006	  	  	  6.5	Feeding Trial 1 SS_low conc	Algae RC
11/07/2014 11:43:29	new sample	BR-FL	12	1.0	       1.35e+005	BR-FL/BR	  8.5%	 	Feeding Trial 1 SS_low conc	Algae RC

11/07/2014 11:44:58	new sample	BR	91	1.0	       1.01e+006	  	  	  5.6	Feeding Trial 1 SS_low conc	Algae RC
11/07/2014 11:44:58	new sample	FL	112	1.0	       1.24e+006	  	  	  6.2	Feeding Trial 1 SS_low conc	Algae RC
11/07/2014 11:44:58	new sample	BR-FL	-21	1.0	      -2.38e+005	BR-FL/BR	-23.6%	 	Feeding Trial 1 SS_low conc	Algae RC

11/07/2014 11:46:27	new sample	BR	139	1.0	       1.54e+006	  	  	  6.2	Feeding Trial 1 SS_low conc	Algae RC
11/07/2014 11:46:27	new sample	FL	132	1.0	       1.47e+006	  	  	  6.4	Feeding Trial 1 SS_low conc	Algae RC
11/07/2014 11:46:27	new sample	BR-FL	7	1.0	       7.47e+004	BR-FL/BR	  4.8%	 	Feeding Trial 1 SS_low conc	Algae RC

11/07/2014 11:47:59	new sample	BR	136	1.0	       1.52e+006	  	  	  6.5	Feeding Trial 1 SS_low conc	Algae RC
11/07/2014 11:47:59	new sample	FL	136	1.0	       1.51e+006	  	  	  6.2	Feeding Trial 1 SS_low conc	Algae RC
11/07/2014 11:47:59	new sample	BR-FL	0	1.0	       4.52e+003	BR-FL/BR	  0.3%	 	Feeding Trial 1 SS_low conc	Algae RC

11/07/2014 11:49:28	new sample	BR	96	1.0	       1.07e+006	  	  	  6.9	Feeding Trial 1 SS_low conc	Algae RC
11/07/2014 11:49:28	new sample	FL	125	1.0	       1.39e+006	  	  	  6.5	Feeding Trial 1 SS_low conc	Algae RC
11/07/2014 11:49:28	new sample	BR-FL	-29	1.0	      -3.20e+005	BR-FL/BR	-29.8%	 	Feeding Trial 1 SS_low conc	Algae RC

11/07/2014 11:50:55	new sample	BR	102	1.0	       1.13e+006	  	  	  5.9	Feeding Trial 1 SS_low conc	Algae RC
11/07/2014 11:50:55	new sample	FL	111	1.0	       1.23e+006	  	  	  6.1	Feeding Trial 1 SS_low conc	Algae RC
11/07/2014 11:50:55	new sample	BR-FL	-9	1.0	      -1.02e+005	BR-FL/BR	 -9.0%	 	Feeding Trial 1 SS_low conc	Algae RC

11/07/2014 11:52:32	new sample	BR	69	1.0	       7.62e+005	  	  	  5.5	Feeding Trial 1 SS_low conc	Algae RC
11/07/2014 11:52:32	new sample	FL	109	1.0	       1.21e+006	  	  	  6.1	Feeding Trial 1 SS_low conc	Algae RC
11/07/2014 11:52:32	new sample	BR-FL	-40	1.0	      -4.48e+005	BR-FL/BR	-58.8%	 	Feeding Trial 1 SS_low conc	Algae RC

11/07/2014 11:54:20	new sample	BR	159	1.0	       1.76e+006	  	  	  5.9	Feeding Trial 1 SS_low conc	Algae RC
11/07/2014 11:54:20	new sample	FL	121	1.0	       1.35e+006	  	  	  6.7	Feeding Trial 1 SS_low conc	Algae RC
11/07/2014 11:54:20	new sample	BR-FL	38	1.0	       4.12e+005	BR-FL/BR	 23.4%	 	Feeding Trial 1 SS_low conc	Algae RC

