Org Name	Station ID	State	County	HUC	Generated HUC	Station Latitude	Station Longitude	Station Horizontal Datum	Activity ID	Index ID	Index Type ID	Index Type Name	Index Score	Index Calculated Date
EPA National Aquatic Resources Survey (NARS)	NLA06608-0191	NORTH CAROLINA	MACON	06010202	06010202	35.1678348	-83.6670913	WGS84       		PSM:0191:1:LITCVRQ	NARS_WQX~LitCvrQ	Final Littoral Cover Index (LitCvrQ_Var indicates+	0.15333333	21-Jul-07
EPA National Aquatic Resources Survey (NARS)	NLA06608-0191	NORTH CAROLINA	MACON	06010202	06010202	35.1678348	-83.6670913	WGS84       		PSM:0191:1:LOGLITCVRQ	NARS_WQX~LogLitCvrQ	Log10(Littoral Cover Index+0.01)	-0.7869251	21-Jul-07
EPA National Aquatic Resources Survey (NARS)	NLA06608-0191	NORTH CAROLINA	MACON	06010202	06010202	35.1678348	-83.6670913	WGS84       		PSM:0191:1:LITRIPCVQ	NARS_WQX~LitRipCVQ	Final Littoral-Riparian Cover Index (LitCvrQ_Var +	0.20516666	21-Jul-07
EPA National Aquatic Resources Survey (NARS)	NLA06608-0191	NORTH CAROLINA	MACON	06010202	06010202	35.1678348	-83.6670913	WGS84       		PSM:0191:1:LOGLITRIPCVQ	NARS_WQX~LogLitRipCvQ	Log10 (Littoral-Riparian Cover Index+0.01)	-0.6672250	21-Jul-07
EPA National Aquatic Resources Survey (NARS)	NLA06608-0191	NORTH CAROLINA	MACON	06010202	06010202	35.1678348	-83.6670913	WGS84       		PSM:0191:1:RVEG_OE	NARS_WQX~RVeg_OE	Observed/Expected Riparian Cover Complexity Index	1.09501491	21-Jul-07
EPA National Aquatic Resources Survey (NARS)	NLA06608-0191	NORTH CAROLINA	MACON	06010202	06010202	35.1678348	-83.6670913	WGS84       		PSM:0191:1:LITRIPCVR_OE	NARS_WQX~LitRipCvr_OE	Observed/Expected Littoral-Riparian Cover Complex+	0.88920672	21-Jul-07
EPA National Aquatic Resources Survey (NARS)	NLA06608-0191	NORTH CAROLINA	MACON	06010202	06010202	35.1678348	-83.6670913	WGS84       		PSM:0191:1:AREA_HA	NARS_WQX~AREA_HA	Lake polygon area (hectares) from NHD	640.031702	21-Jul-07
EPA National Aquatic Resources Survey (NARS)	NLA06608-0191	NORTH CAROLINA	MACON	06010202	06010202	35.1678348	-83.6670913	WGS84       		PSM:0191:1:WSA_ECO3	NARS_WQX~WSA_ECO3	Wadeable Stream Assessment three aggregrated Omer+	EHIGH	21-Jul-07
EPA National Aquatic Resources Survey (NARS)	NLA06608-0191	NORTH CAROLINA	MACON	06010202	06010202	35.1678348	-83.6670913	WGS84       		PSM:0191:1:WSA_ECO9	NARS_WQX~WSA_ECO9	Wadeable Stream Assessment nine aggregrated Omern+	SAP	21-Jul-07
EPA National Aquatic Resources Survey (NARS)	NLA06608-0191	NORTH CAROLINA	MACON	06010202	06010202	35.1678348	-83.6670913	WGS84       		PSM:0191:1:CLASSP	NARS_WQX~CLASSP	Modified reference class (RT_NLA) that excludes b+	R	21-Jul-07
