date time	sample name	count type	cell count	dilution factor	concentration	result type	result	mean diameter	assay type	cell type
06/06/2014 12:43:51	new sample	BR	94	1.0	       1.06e+006	  	  	  7.7	Feeding Trial 1 SS_low conc	Algae RC
06/06/2014 12:43:51	new sample	FL	58	1.0	       6.44e+005	  	  	  6.1	Feeding Trial 1 SS_low conc	Algae RC
06/06/2014 12:43:51	new sample	BR-FL	36	1.0	       4.13e+005	BR-FL/BR	 39.1%	 	Feeding Trial 1 SS_low conc	Algae RC

06/06/2014 12:44:59	new sample	BR	107	1.0	       1.20e+006	  	  	  7.4	Feeding Trial 1 SS_low conc	Algae RC
06/06/2014 12:44:59	new sample	FL	54	1.0	       6.00e+005	  	  	  6.2	Feeding Trial 1 SS_low conc	Algae RC
06/06/2014 12:44:59	new sample	BR-FL	53	1.0	       6.00e+005	BR-FL/BR	 50.0%	 	Feeding Trial 1 SS_low conc	Algae RC

06/06/2014 12:46:45	new sample	BR	48	1.0	       5.32e+005	  	  	  6.0	Feeding Trial 1 SS_low conc	Algae RC
06/06/2014 12:46:45	new sample	FL	72	1.0	       7.89e+005	  	  	  4.5	Feeding Trial 1 SS_low conc	Algae RC
06/06/2014 12:46:45	new sample	BR-FL	-24	1.0	      -2.57e+005	BR-FL/BR	-48.3%	 	Feeding Trial 1 SS_low conc	Algae RC

06/06/2014 12:48:15	new sample	BR	0	1.0	       0.00e+000	  	  	  0.0	Feeding Trial 1 SS_low conc	Algae RC
06/06/2014 12:48:15	new sample	FL	98	1.0	       1.07e+006	  	  	  3.7	Feeding Trial 1 SS_low conc	Algae RC
06/06/2014 12:48:15	new sample	BR-FL	-98	1.0	      -1.07e+006	BR-FL/BR	  0.0%	 	Feeding Trial 1 SS_low conc	Algae RC

06/06/2014 12:49:55	new sample	BR	143	1.0	       1.60e+006	  	  	  6.9	Feeding Trial 1 SS_low conc	Algae RC
06/06/2014 12:49:55	new sample	FL	78	1.0	       8.55e+005	  	  	  4.5	Feeding Trial 1 SS_low conc	Algae RC
06/06/2014 12:49:55	new sample	BR-FL	65	1.0	       7.43e+005	BR-FL/BR	 46.5%	 	Feeding Trial 1 SS_low conc	Algae RC

06/06/2014 12:51:21	new sample	BR	84	1.0	       9.38e+005	  	  	  6.8	Feeding Trial 1 SS_low conc	Algae RC
06/06/2014 12:51:21	new sample	FL	78	1.0	       8.56e+005	  	  	  4.6	Feeding Trial 1 SS_low conc	Algae RC
06/06/2014 12:51:21	new sample	BR-FL	6	1.0	       8.21e+004	BR-FL/BR	  8.8%	 	Feeding Trial 1 SS_low conc	Algae RC

06/06/2014 12:52:54	new sample	BR	133	1.0	       1.48e+006	  	  	  6.6	Feeding Trial 1 SS_low conc	Algae RC
06/06/2014 12:52:54	new sample	FL	83	1.0	       9.10e+005	  	  	  4.5	Feeding Trial 1 SS_low conc	Algae RC
06/06/2014 12:52:54	new sample	BR-FL	50	1.0	       5.73e+005	BR-FL/BR	 38.6%	 	Feeding Trial 1 SS_low conc	Algae RC

06/06/2014 12:54:18	new sample	BR	147	1.0	       1.65e+006	  	  	  7.2	Feeding Trial 1 SS_low conc	Algae RC
06/06/2014 12:54:18	new sample	FL	85	1.0	       9.35e+005	  	  	  4.9	Feeding Trial 1 SS_low conc	Algae RC
06/06/2014 12:54:18	new sample	BR-FL	62	1.0	       7.11e+005	BR-FL/BR	 43.2%	 	Feeding Trial 1 SS_low conc	Algae RC

06/06/2014 12:55:43	new sample	BR	122	1.0	       1.35e+006	  	  	  5.4	Feeding Trial 1 SS_low conc	Algae RC
06/06/2014 12:55:43	new sample	FL	95	1.0	       1.04e+006	  	  	  4.0	Feeding Trial 1 SS_low conc	Algae RC
06/06/2014 12:55:43	new sample	BR-FL	27	1.0	       3.10e+005	BR-FL/BR	 23.0%	 	Feeding Trial 1 SS_low conc	Algae RC

06/06/2014 12:57:20	new sample	BR	141	1.0	       1.56e+006	  	  	  5.7	Feeding Trial 1 SS_low conc	Algae RC
06/06/2014 12:57:20	new sample	FL	93	1.0	       1.02e+006	  	  	  4.2	Feeding Trial 1 SS_low conc	Algae RC
06/06/2014 12:57:20	new sample	BR-FL	48	1.0	       5.43e+005	BR-FL/BR	 34.8%	 	Feeding Trial 1 SS_low conc	Algae RC

06/06/2014 12:58:51	new sample	BR	111	1.0	       1.23e+006	  	  	  5.5	Feeding Trial 1 SS_low conc	Algae RC
06/06/2014 12:58:51	new sample	FL	104	1.0	       1.13e+006	  	  	  3.7	Feeding Trial 1 SS_low conc	Algae RC
06/06/2014 12:58:51	new sample	BR-FL	7	1.0	       9.43e+004	BR-FL/BR	  7.7%	 	Feeding Trial 1 SS_low conc	Algae RC

06/06/2014 13:00:34	new sample	BR	132	1.0	       1.46e+006	  	  	  5.6	Feeding Trial 1 SS_low conc	Algae RC
06/06/2014 13:00:34	new sample	FL	92	1.0	       1.00e+006	  	  	  3.9	Feeding Trial 1 SS_low conc	Algae RC
06/06/2014 13:00:34	new sample	BR-FL	40	1.0	       4.56e+005	BR-FL/BR	 31.2%	 	Feeding Trial 1 SS_low conc	Algae RC

06/06/2014 13:09:07	new sample	BR	83	1.0	       9.19e+005	  	  	  5.7	Feeding Trial 1 SS_low conc	Algae RC
06/06/2014 13:09:07	new sample	FL	75	1.0	       8.19e+005	  	  	  4.0	Feeding Trial 1 SS_low conc	Algae RC
06/06/2014 13:09:07	new sample	BR-FL	8	1.0	       1.00e+005	BR-FL/BR	 10.9%	 	Feeding Trial 1 SS_low conc	Algae RC

06/06/2014 13:10:54	new sample	BR	133	1.0	       1.47e+006	  	  	  5.9	Feeding Trial 1 SS_low conc	Algae RC
06/06/2014 13:10:54	new sample	FL	79	1.0	       8.64e+005	  	  	  4.3	Feeding Trial 1 SS_low conc	Algae RC
06/06/2014 13:10:54	new sample	BR-FL	54	1.0	       6.10e+005	BR-FL/BR	 41.4%	 	Feeding Trial 1 SS_low conc	Algae RC

06/06/2014 13:12:56	new sample	BR	120	1.0	       1.33e+006	  	  	  5.6	Feeding Trial 1 SS_low conc	Algae RC
06/06/2014 13:12:56	new sample	FL	80	1.0	       8.74e+005	  	  	  4.1	Feeding Trial 1 SS_low conc	Algae RC
06/06/2014 13:12:56	new sample	BR-FL	40	1.0	       4.53e+005	BR-FL/BR	 34.1%	 	Feeding Trial 1 SS_low conc	Algae RC

06/06/2014 13:14:29	new sample	BR	109	1.0	       1.21e+006	  	  	  5.9	Feeding Trial 1 SS_low conc	Algae RC
06/06/2014 13:14:29	new sample	FL	91	1.0	       9.92e+005	  	  	  3.9	Feeding Trial 1 SS_low conc	Algae RC
06/06/2014 13:14:29	new sample	BR-FL	18	1.0	       2.15e+005	BR-FL/BR	 17.8%	 	Feeding Trial 1 SS_low conc	Algae RC

06/06/2014 13:16:41	new sample	BR	116	1.0	       1.29e+006	  	  	  6.0	Feeding Trial 1 SS_low conc	Algae RC
06/06/2014 13:16:41	new sample	FL	82	1.0	       8.97e+005	  	  	  4.3	Feeding Trial 1 SS_low conc	Algae RC
06/06/2014 13:16:41	new sample	BR-FL	34	1.0	       3.89e+005	BR-FL/BR	 30.2%	 	Feeding Trial 1 SS_low conc	Algae RC

06/06/2014 13:18:16	new sample	BR	135	1.0	       1.51e+006	  	  	  6.7	Feeding Trial 1 SS_low conc	Algae RC
06/06/2014 13:18:16	new sample	FL	96	1.0	       1.05e+006	  	  	  4.0	Feeding Trial 1 SS_low conc	Algae RC
06/06/2014 13:18:16	new sample	BR-FL	39	1.0	       4.58e+005	BR-FL/BR	 30.4%	 	Feeding Trial 1 SS_low conc	Algae RC

06/06/2014 13:19:48	new sample	BR	89	1.0	       9.85e+005	  	  	  5.7	Feeding Trial 1 SS_low conc	Algae RC
06/06/2014 13:19:48	new sample	FL	83	1.0	       9.06e+005	  	  	  4.0	Feeding Trial 1 SS_low conc	Algae RC
06/06/2014 13:19:48	new sample	BR-FL	6	1.0	       7.89e+004	BR-FL/BR	  8.0%	 	Feeding Trial 1 SS_low conc	Algae RC

06/06/2014 13:21:39	new sample	BR	99	1.0	       1.10e+006	  	  	  6.0	Feeding Trial 1 SS_low conc	Algae RC
06/06/2014 13:21:39	new sample	FL	87	1.0	       9.50e+005	  	  	  4.0	Feeding Trial 1 SS_low conc	Algae RC
06/06/2014 13:21:39	new sample	BR-FL	12	1.0	       1.48e+005	BR-FL/BR	 13.5%	 	Feeding Trial 1 SS_low conc	Algae RC

06/06/2014 13:23:10	new sample	BR	140	1.0	       1.56e+006	  	  	  6.7	Feeding Trial 1 SS_low conc	Algae RC
06/06/2014 13:23:10	new sample	FL	68	1.0	       7.48e+005	  	  	  5.0	Feeding Trial 1 SS_low conc	Algae RC
06/06/2014 13:23:10	new sample	BR-FL	72	1.0	       8.14e+005	BR-FL/BR	 52.1%	 	Feeding Trial 1 SS_low conc	Algae RC

06/06/2014 13:24:34	new sample	BR	180	1.0	       2.00e+006	  	  	  6.2	Feeding Trial 1 SS_low conc	Algae RC
06/06/2014 13:24:34	new sample	FL	103	1.0	       1.13e+006	  	  	  4.1	Feeding Trial 1 SS_low conc	Algae RC
06/06/2014 13:24:34	new sample	BR-FL	77	1.0	       8.75e+005	BR-FL/BR	 43.7%	 	Feeding Trial 1 SS_low conc	Algae RC

06/06/2014 13:26:29	new sample	BR	155	1.0	       1.72e+006	  	  	  5.9	Feeding Trial 1 SS_low conc	Algae RC
06/06/2014 13:26:29	new sample	FL	105	1.0	       1.15e+006	  	  	  3.9	Feeding Trial 1 SS_low conc	Algae RC
06/06/2014 13:26:29	new sample	BR-FL	50	1.0	       5.73e+005	BR-FL/BR	 33.3%	 	Feeding Trial 1 SS_low conc	Algae RC

06/06/2014 13:28:03	new sample	BR	148	1.0	       1.64e+006	  	  	  6.0	Feeding Trial 1 SS_low conc	Algae RC
06/06/2014 13:28:03	new sample	FL	97	1.0	       1.06e+006	  	  	  4.1	Feeding Trial 1 SS_low conc	Algae RC
