river,site,quad1,quad2,quad3,quad4,quad5,quad6,quad7,quad8,quad9,quad10,quad11,quad12,quad13,quad14,quad15,quad16,quad17,quad18,quad19,quad20,quad21,quad22,quad23,quad24,quad25,quad26,quad27,quad28,quad29,quad30,quad31
Little Tenessee,LiTN 1,17,21,16,22,10,39,6,11,11,16,9,39,10,58,34,19,12,29,21,3,32,15,11,15,127,81,120,84,0,0,NA
Little Tenessee,LiTN 2,0,0,4,3,0,0,0,1,0,0,0,1,0,2,3,0,0,2,1,7,2,10,6,4,1,4,2,3,1,3,NA
Little Tenessee,LiTN 3,6,31,18,38,5,22,7,5,24,10,10,14,11,9,9,15,21,13,11,24,14,12,25,9,14,17,23,17,29,22,19
Tuckasegee,Tuck 1,8,14,1,10,32,10,1,1,2,1,10,1,1,4,2,2,3,11,24,10,6,6,12,0,0,0,0,0,0,0,NA
Tuckasegee,Tuck 2,0,4,18,10,1,1,2,3,9,28,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
Tuckasegee,Tuck 3,2,25,6,3,6,8,4,2,4,13,14,4,9,16,15,10,13,2,4,5,0,8,8,0,0,0,0,0,0,0,NA
