id,river,site,species,dry_weight_g,buoyant_weight_g,length_mm,width_mm,height_mm,date,dead,post
C520,Little Tennessee,LiTN 3,A. raveneliana,,2.3,49.3,24.5,16.4,4/2/13,0,0
C483,Little Tennessee,LiTN 3,A. raveneliana,,13.1,69.6,35.9,23.5,4/2/13,0,0
C477,Little Tennessee,LiTN 3,A. raveneliana,,10.6,73,36.2,25,4/2/13,0,0
C526,Little Tennessee,LiTN 3,A. raveneliana,,11,72.2,37.6,25.1,4/2/13,0,0
C480,Little Tennessee,LiTN 3,A. raveneliana,,9.6,72.6,36.5,24.5,4/2/13,0,0
C503,Little Tennessee,LiTN 3,A. raveneliana,,7.2,61.5,34.7,20.9,4/2/13,0,0
C534,Little Tennessee,LiTN 3,A. raveneliana,,2.7,45.3,23.3,14,4/2/13,0,0
C532,Little Tennessee,LiTN 3,A. raveneliana,,2.1,46.6,24.2,15.4,4/2/13,0,0
C527,Little Tennessee,LiTN 3,A. raveneliana,,9.8,68,34.1,26.8,4/2/13,0,0
C521,Little Tennessee,LiTN 3,A. raveneliana,,5.3,55,18.8,19.1,4/2/13,0,0
C499,Tuckasegee,Tuck 1,A. raveneliana,35.1,8.4,67.1,36.5,23.7,10/3/13,0,1
C476,Tuckasegee,Tuck 1,A. raveneliana,32.6,9.3,69,33,23.2,10/3/13,0,1
C509,Tuckasegee,Tuck 1,A. raveneliana,25,5.4,65,30,22,9/19/13,0,1
C522,Tuckasegee,Tuck 1,A. raveneliana,13.7,3.3,49.5,26.5,17,10/3/13,0,1
C481,Tuckasegee,Tuck 1,A. raveneliana,34.4,8.1,70,36,22,9/19/13,0,1
C475,Tuckasegee,Tuck 1,A. raveneliana,29.5,8.5,62.2,32,35.3,9/19/13,0,1
C530,Tuckasegee,Tuck 1,A. raveneliana,38.6,21.5,72,37,23,9/19/13,0,1
C493,Tuckasegee,Tuck 1,A. raveneliana,18,4.7,56.1,30.7,17.8,10/3/13,0,1
C467,Tuckasegee,Tuck 1,A. raveneliana,23.1,5.4,61.2,32,19.4,10/3/13,0,1
C504,Tuckasegee,Tuck 1,A. raveneliana,11.4,3.6,45.5,23.5,16,10/3/13,0,1
C484,Tuckasegee,Tuck 1,A. raveneliana,37.7,10.2,74,36,24,9/19/13,0,1
C501,Tuckasegee,Tuck 1,A. raveneliana,43,24.2,73,37,26,9/19/13,0,1
C519,Tuckasegee,Tuck 2,A. raveneliana,,,72.4,37.7,27.4,9/19/13,1,1
C507,Tuckasegee,Tuck 2,A. raveneliana,47.3,13.4,71.6,39.3,27.2,10/3/13,0,1
C496,Tuckasegee,Tuck 2,A. raveneliana,44.6,10.1,78,36,27,9/19/13,0,1
C472,Tuckasegee,Tuck 2,A. raveneliana,36.8,9.7,70.6,36.2,25.3,10/3/13,0,1
C500,Tuckasegee,Tuck 2,A. raveneliana,59.1,15,78.8,41.9,28.6,10/3/13,0,1
C486,Tuckasegee,Tuck 2,A. raveneliana,15.2,2.9,54,28,18,9/19/13,0,1
C513,Tuckasegee,Tuck 2,A. raveneliana,17.5,3.2,57,31,18,9/19/13,0,1
C516,Tuckasegee,Tuck 2,A. raveneliana,44.4,12.3,76,39,25,9/19/13,0,1
C505,Tuckasegee,Tuck 2,A. raveneliana,29.7,7.6,66,31,24,9/19/13,0,1
C469,Tuckasegee,Tuck 2,A. raveneliana,,,76.7,38.9,27.5,9/19/13,1,1
C465,Tuckasegee,Tuck 2,A. raveneliana,38.1,9.7,72,38,24,9/19/13,0,1
C518,Tuckasegee,Tuck 2,A. raveneliana,,,70.2,36,25.8,9/19/13,1,1
C506,Tuckasegee,Tuck 3,A. raveneliana,40.6,11.8,76,38,25,9/19/13,0,1
C511,Tuckasegee,Tuck 3,A. raveneliana,17,2.4,56,29,19,9/19/13,0,1
C489,Tuckasegee,Tuck 3,A. raveneliana,,,53.7,28.2,18.6,9/19/13,1,1
C498,Tuckasegee,Tuck 3,A. raveneliana,16.2,3.5,73.7,39,24.4,10/3/13,0,1
C464,Tuckasegee,Tuck 3,A. raveneliana,11.7,1.4,52,27,16,9/19/13,0,1
C487,Tuckasegee,Tuck 3,A. raveneliana,38.2,9.2,71,37,24,9/19/13,0,1
C471,Tuckasegee,Tuck 3,A. raveneliana,,,76,40.7,30.5,9/19/13,1,1
