id,river,site,species,dry_weight_g,buoyant_weight_g,length_mm,width_mm,height_mm,date,dead,post
P148,Little Tennessee,LiTN 2,L. fasciola,3.6,0.8,30,18,12,9/19/13,0,1
P169,Little Tennessee,LiTN 2,L. fasciola,4.6,0.7,32.7,21.2,12.9,5/6/14,0,1
P167,Little Tennessee,LiTN 2,L. fasciola,4.9,1.1,31,20,13,9/19/13,0,1
P095,Little Tennessee,LiTN 2,L. fasciola,8.4,1.8,35.5,24.2,14.7,5/6/14,0,1
P166,Little Tennessee,LiTN 2,L. fasciola,5.6,1.5,34,22,14,9/19/13,0,1
P105,Little Tennessee,LiTN 2,L. fasciola,9.2,1.9,38.4,25,16.4,5/6/14,0,1
P153,Little Tennessee,LiTN 2,L. fasciola,7.5,2.1,36.7,23,15.1,5/6/14,0,1
P127,Little Tennessee,LiTN 3,L. fasciola,6.2,1.4,38,24,14,9/19/13,0,1
P158,Little Tennessee,LiTN 3,L. fasciola,6.6,2.1,33.5,21.3,15.1,5/6/14,0,1
P089,Little Tennessee,LiTN 3,L. fasciola,5.8,1.6,32.8,21.2,14.2,5/6/14,0,1
P163,Little Tennessee,LiTN 3,L. fasciola,6.7,1.6,33.6,23,14.8,5/6/14,0,1
P121,Little Tennessee,LiTN 3,L. fasciola,7.8,2,38,24,16,9/19/13,0,1
P116,Little Tennessee,LiTN 3,L. fasciola,9.9,2.6,40,25,18,9/19/13,0,1
P092,Little Tennessee,LiTN 3,L. fasciola,9.5,2.7,39.1,24.8,16.7,5/6/14,0,1
P125,Little Tennessee,LiTN 3,L. fasciola,7.4,1.9,37,25,15,9/19/13,0,1
P124,Little Tennessee,LiTN 3,L. fasciola,8.4,1.7,37.5,15.6,24.1,5/6/14,0,1
P110,Little Tennessee,LiTN 3,L. fasciola,9,3.2,40,26,16,9/19/13,0,1
P099,Little Tennessee,LiTN 3,L. fasciola,6.8,2,34,20.9,15.2,5/6/14,0,1
P119,Little Tennessee,LiTN 3,L. fasciola,6.3,1.9,35,22,14,9/19/13,0,1
