site,river,date,DO (mg/L),Turb (NTU),Ph,Temp (C)
Tuck 1,Tuckasegee,3/11/14,9.15,1.38,NA,10.3
Tuck 1,Tuckasegee,3/26/14,10.08,0.49,7.54,5.6
Tuck 2,Tuckasegee,4/14/13,10.68,9.1,7.5,10.9
Tuck 2,Tuckasegee,4/28/13,10.41,29.1,7.26,10.7
Tuck 2,Tuckasegee,5/14/13,10.13,3.8,7.44,13.1
Tuck 2,Tuckasegee,5/28/13,9.29,5.88,7.79,16.5
Tuck 2,Tuckasegee,6/11/13,9.85,9.64,7.6,16.1
Tuck 2,Tuckasegee,6/25/13,9.35,5.83,7.95,19
Tuck 2,Tuckasegee,7/14/13,8.8,10.37,7.48,18.4
Tuck 2,Tuckasegee,7/31/13,8.74,5.2,7.69,18.74
Tuck 2,Tuckasegee,8/7/13,8.59,19.1,NA,17.8
Tuck 2,Tuckasegee,8/19/13,8.75,19.8,NA,18
Tuck 2,Tuckasegee,9/3/13,NA,49.8,NA,NA
Tuck 2,Tuckasegee,9/19/13,8.37,3.79,7.51,17.4
Tuck 2,Tuckasegee,10/2/13,8.31,5.96,6.88,18.3
Tuck 2,Tuckasegee,10/15/13,9.08,3.06,7.28,17.1
Tuck 2,Tuckasegee,10/29/13,10.24,1.22,7.76,13.3
Tuck 2,Tuckasegee,11/12/13,9.45,0.65,7.03,9.4
Tuck 2,Tuckasegee,12/1/13,9.67,0.17,7.74,7.9
Tuck 2,Tuckasegee,12/17/13,10.48,2.59,7.23,6.4
Tuck 2,Tuckasegee,1/14/14,NA,6.59,7.53,NA
Tuck 2,Tuckasegee,2/4/14,9.87,4.95,6.97,6
Tuck 2,Tuckasegee,2/18/14,10.27,1.52,NA,6.9
Tuck 2,Tuckasegee,3/11/14,8.94,7,NA,9.9
Tuck 2,Tuckasegee,3/26/14,10.8,0.48,7.56,4.5
Tuck 3,Tuckasegee,4/14/13,10.56,8.53,7.43,11.9
Tuck 3,Tuckasegee,4/28/13,10.12,25.4,7.32,10.9
Tuck 3,Tuckasegee,5/14/13,10.65,4.56,7.52,12.5
Tuck 3,Tuckasegee,5/28/13,9.66,5.38,7.54,16.9
Tuck 3,Tuckasegee,6/11/13,9.48,13.3,7.63,16
Tuck 3,Tuckasegee,6/25/13,9.63,5.99,7.68,19.5
Tuck 3,Tuckasegee,7/14/13,8.64,11.1,7.49,18.5
Tuck 3,Tuckasegee,7/31/13,8.63,4.94,7.65,19.6
Tuck 3,Tuckasegee,8/7/13,8.78,23.7,NA,18.9
Tuck 3,Tuckasegee,8/19/13,8.53,10.5,NA,18.3
Tuck 3,Tuckasegee,9/3/13,NA,168,NA,NA
Tuck 3,Tuckasegee,9/19/13,9.15,5.47,7.25,17.7
Tuck 3,Tuckasegee,10/2/13,8.79,3.61,7.43,18.6
Tuck 3,Tuckasegee,10/15/13,9.04,2.05,7.27,17.3
Tuck 3,Tuckasegee,10/29/13,9.96,1.07,7.41,14.3
Tuck 3,Tuckasegee,11/12/13,10.04,0.69,7.28,9.1
Tuck 3,Tuckasegee,12/1/13,9.93,1.22,7.67,7.8
Tuck 3,Tuckasegee,12/17/13,10.82,2.09,7.25,6.8
Tuck 3,Tuckasegee,1/14/14,NA,7,7.7,NA
Tuck 3,Tuckasegee,2/4/14,10.36,3.61,6.7,6.1
Tuck 3,Tuckasegee,2/18/14,10.02,1.64,NA,6.7
Tuck 3,Tuckasegee,3/11/14,9.66,1.68,NA,10.1
Tuck 3,Tuckasegee,3/26/14,10.75,0.39,7.51,5.1
